epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6473,1.86591,1.90791,1.10106,0.00837,0.88346,0.41514,0.18168,1.82832,2.62492,1.00212,0.000658436,0.000658436,0.000658436
2,24.6968,1.8238,1.29234,1.09943,0.77746,0.65013,0.71672,0.32419,1.85188,1.33877,1.12075,0.00129887,0.00129887,0.00129887
3,36.7189,1.79844,1.2118,1.09184,0.73268,0.54096,0.58301,0.22875,2.1866,1.67631,1.28647,0.0019129,0.0019129,0.0019129
4,48.4837,1.77031,1.12749,1.09253,0.80676,0.71413,0.75879,0.32283,1.92731,1.16351,1.07483,0.0018812,0.0018812,0.0018812
5,59.9715,1.7291,1.07989,1.07357,0.80031,0.70301,0.77742,0.35474,1.747,1.04337,1.02993,0.0018416,0.0018416,0.0018416
6,71.6408,1.68841,1.03614,1.05959,0.82349,0.75417,0.78731,0.32294,1.92311,1.00873,1.05524,0.001802,0.001802,0.001802
7,83.718,1.67127,0.98401,1.0513,0.88523,0.63722,0.75054,0.33505,1.89677,1.08776,1.06986,0.0017624,0.0017624,0.0017624
8,95.671,1.67603,1.0117,1.05811,0.82824,0.73418,0.80506,0.3761,1.70283,0.98684,1.00661,0.0017228,0.0017228,0.0017228
9,107.657,1.59103,0.93837,1.02668,0.84021,0.75115,0.81813,0.40084,1.69388,0.92814,1.02837,0.0016832,0.0016832,0.0016832
10,119.199,1.58688,0.92018,1.02685,0.87298,0.72344,0.83037,0.42785,1.63399,0.86451,0.99025,0.0016436,0.0016436,0.0016436
11,130.63,1.60955,0.88775,1.01849,0.89148,0.78756,0.86105,0.43563,1.58384,0.81768,0.96766,0.001604,0.001604,0.001604
12,142.019,1.54055,0.85844,0.99751,0.86473,0.76692,0.83405,0.43651,1.5956,0.84425,0.97659,0.0015644,0.0015644,0.0015644
13,153.331,1.5553,0.87077,1.02241,0.87285,0.78715,0.85508,0.45301,1.52379,0.83233,0.96645,0.0015248,0.0015248,0.0015248
14,164.778,1.54452,0.85678,1.01065,0.88306,0.82324,0.87441,0.45956,1.54114,0.81775,0.96713,0.0014852,0.0014852,0.0014852
15,176.17,1.54059,0.86252,1.00364,0.87545,0.77954,0.83243,0.44361,1.55578,0.81237,0.94755,0.0014456,0.0014456,0.0014456
16,187.573,1.51759,0.84133,0.99621,0.86675,0.79887,0.85989,0.46796,1.5427,0.75585,0.95172,0.001406,0.001406,0.001406
17,198.927,1.50548,0.81654,1.00115,0.83683,0.78084,0.8253,0.39213,1.81359,0.80092,0.99072,0.0013664,0.0013664,0.0013664
18,210.332,1.47052,0.80924,0.99529,0.88068,0.82895,0.8684,0.47503,1.51829,0.76504,0.94701,0.0013268,0.0013268,0.0013268
19,221.719,1.45787,0.79218,0.97467,0.88165,0.81955,0.8775,0.49611,1.44861,0.73875,0.9337,0.0012872,0.0012872,0.0012872
